match_id,Pt,Set1,Set2,Gm1,Gm2,Pts,Gm#,TbSet,Svr,1st,2nd,Notes,PtWinner,Serve Result,Test Set
20240908-M-US_Open-F-Taylor_Fritz-Jannik_Sinner,23,0,0,1,2,40-40,4,TRUE,2,,6b29f3b3b2f2b3b3b1w#,,1,6,
20240908-M-US_Open-F-Taylor_Fritz-Jannik_Sinner,24,0,0,1,2,40-AD,4,TRUE,2,4m3j!1n@,,,1,4,
20240908-M-US_Open-F-Taylor_Fritz-Jannik_Sinner,44,0,0,3,4,0-0,8,TRUE,2,4f17f2d@,,,1,4,
20240908-M-US_Open-F-Taylor_Fritz-Jannik_Sinner,45,0,0,3,4,0-15,8,TRUE,2,,5b38f3b3f3b1n#,,2,5,
20240908-M-US_Open-F-Taylor_Fritz-Jannik_Sinner,46,0,0,3,4,15-15,8,TRUE,2,4x,,,2,4x,
20240908-M-US_Open-F-Taylor_Fritz-Jannik_Sinner,46,0,0,3,4,15-15,8,TRUE,2,,5f27f2f2f2b2f3b3b1f1f1f2d@,,2,5,
20240908-M-US_Open-F-Taylor_Fritz-Jannik_Sinner,47,0,0,3,4,30-15,8,TRUE,2,6r!3w#,,,2,6,
20240908-M-US_Open-F-Taylor_Fritz-Jannik_Sinner,48,0,0,3,4,40-15,8,TRUE,2,6d,6b2d@,,2,6d,
20240908-M-US_Open-F-Taylor_Fritz-Jannik_Sinner,48,0,0,3,4,40-15,8,TRUE,2,6d,6b2d@,,2,6,
20240908-M-US_Open-F-Taylor_Fritz-Jannik_Sinner,64,0,1,1,1,0-0,12,TRUE,2,4f2d#,,,2,4,Test
20240908-M-US_Open-F-Taylor_Fritz-Jannik_Sinner,65,0,1,1,1,15-0,12,TRUE,2,6n,,,1,6n,Test
20240908-M-US_Open-F-Taylor_Fritz-Jannik_Sinner,65,0,1,1,1,15-0,12,TRUE,2,,6f18f2d#,,1,6,Test
20240908-M-US_Open-F-Taylor_Fritz-Jannik_Sinner,66,0,1,1,1,15-15,12,TRUE,2,4n,,,1,4n,Test
20240908-M-US_Open-F-Taylor_Fritz-Jannik_Sinner,66,0,1,1,1,15-15,12,TRUE,2,,6b19f3x#,,1,6,Test
